DOW Number,Name,Area (ha),LakeMaxDepth (m),MeanDepth (m),GeometryRatio,Cisco
01019500,BUSS,44.9,12.8,2.133495885,2.02,No
01019700,LITTLE MCKINNEY,8.5,2.7,,6.22,No
01019900,MCKINNEY,24.2,10,,2.2,No
01020100,HOLY WATER,31.1,17,,1.38,No
01020400,ROUND,310.5,38,,1.1,Yes
01020700,TOWNLINE,70,21,,1.37,No
01020800,SUNSET,102.4,13.1,,2.42,No
01020900,CEDAR,716.1,32,8.533983542,1.61,Yes
01021000,BROWN,35.2,12.1,,1.99,No
01021100,COON,21,31,5.790917403,0.68,No
01021200,MOULTON,104.4,7.3,,4.37,No
01021700,"TURTLE, LITTLE",4.4,14,,1.03,No
01021900,,,,,,No
02000300,OTTER,134.4,6.4,1.828710759,5.31,No
02000400,PELTIER,188.2,5.4,,6.75,No
02000600,CENTERVILLE,184.2,5.7,3.657421518,6.36,No
02000900,RESHANAU,136,4.8,,7,No
02001300,BALDWIN,89,1.5,,20.15,No
02001600,HOWARD,197.5,1.9,1.142944224,18.92,No
02002200,ISLAND,27,6.7,,3.39,No
02002600,LINWOOD,226.3,12.8,3.352636391,3.02,No
02002800,BOOT,54.2,5.7,,4.68,No
02003400,MARTIN,94.7,6,,5.11,No
02003500,FAWN,28.5,7,,3.29,No
02004200,COON,509.7,8.2,3.047851265,5.77,No
02004500,GOLDEN,23.1,7.6,,2.87,No
02005300,HAM,70.4,6.7,1.828710759,4.32,No
02005800,DEVIL,46.5,1.2,0.914355379,21.42,No
02006500,FISH,134.4,3,0.914355379,11.17,No
02007100,SPRING,24.2,5.4,,4.04,No
02007200,LADDIE,31.1,1.2,,19.38,No
02007500,MOORE,43.7,6.7,,3.83,No
02007501,"MOORE, EAST",11.3,6.7,,2.73,No
02007502,"MOORE, WEST",32.3,1.5,,15.65,No
02008400,CROOKED,47.5,7.9,,3.31,No
02009100,GEORGE,200.4,9.7,1.523925632,3.85,No
02010600,NORRIS,22.3,6.4,,3.39,No
02012200,BURNS,36.8,5.4,,4.49,No
02013300,EAST TWIN,63.9,20.7,,1.36,No
02058400,LOCH NESS,2.1,4.8,,2.48,No
02065400,CENAIKO,11.8,10.9,4.206034746,1.68,No
03000500,SHIPMAN,22.6,16.7,,1.3,No
03000600,LITTLE,5.2,6.4,3.047851265,2.36,No
03000700,BLUEBERRY,27.9,14.3,4.571776897,1.6,No
03000800,"ROUND, LITTLE",2.4,8.8,2.743066138,1.41,No
03000900,"LONG, LITTLE",4.4,8.5,,1.7,No
03001000,STRAIGHT,171.2,19.2,4.571776897,1.88,Yes
03001700,TWO INLETS,234,18.2,7.010057909,2.13,Yes
03002900,HUNGRYMAN,36.8,6.4,,3.84,No
03003000,BOOT,140.8,33.2,,1.03,Yes
03003200,HERNANDO DESOTO,52.6,6.7,,4.01,No
03004200,KANE,9.7,15.8,,1.11,No
03004400,DINNER,23.1,9.7,5.18134715,2.24,No
03004900,MORRISON,25.5,9.1,,2.45,No
03005800,PICKEREL,36,9.7,2.743066138,2.51,No
03008500,BAD MEDICINE L.,323.4,25.6,,1.65,Yes
03008800,BASS,72,8.5,,3.41,No
03010100,WOLF,585,4.8,,10.08,No
03010200,SHELL,1271.2,4.8,,12.24,No
03010700,"TOAD, BIG",674.4,8.8,6.400487656,5.76,No
03010800,SIEVERSON,31.1,10.6,,2.21,No
03012600,PIHLAJAS,5.6,3.3,2.133495885,4.6,No
03012700,BASS,54.6,14.6,,1.85,No
03013400,GREEN WATER,32.7,17.3,,1.37,No
03013600,JUGGLER,147.7,23.7,,1.46,No
03013900,PIKE,48.5,15.2,,1.73,Yes
03015300,ISLAND,462.3,11.5,,4,No
03015500,ROUND,440,21,,2.17,Yes
03015600,ICE CRACKING,134,22.2,,1.52,Yes
03015800,MANY POINT,703.2,28,,1.83,Yes
03015900,ELBOW,405.2,23.1,,1.93,Yes
03016000,DEAD,110.9,5.7,,5.6,No
03016600,HUNGRY,97.1,18.2,,1.71,No
03017700,HANSON,13.1,8.8,,2.15,No
03018200,"TWIN, SOUTH",56.2,11.2,,2.42,No
03018900,"TOAD, LITTLE",139.6,19.8,7.192928985,1.73,No
03019500,HEIGHT OF LAND,1425.1,6.4,2.316366961,9.59,No
03021300,WABOOSE,93.7,4.2,,7.29,No
03023400,"BEMIDJI, LITTLE",111.3,17.6,,1.83,Yes
03024100,TAMARACK,579.3,5.1,,9.46,No
03025800,ACORN,50.6,16.7,6.034745504,1.59,Yes
03026400,Town,42.9,4.5,,5.59,No
03026500,EAGLE,124.6,8.8,,3.78,No
03027300,PERCH,16.1,11.5,,1.73,No
03028600,COTTON LAKE,696.3,8.5,,6.01,Yes
03028700,PICKEREL,134.4,22.5,,1.5,No
03029100,RICE,71.6,7,,4.15,No
