"MonitoringLocationIdentifier","LatitudeMeasure","LongitudeMeasure","id"
"USGS-430334088255400",43.0594529,-88.4317641,NA
"USGS-430339088254800",43.0608418,-88.4300974,"nhd_13290958"
"USGS-430347088240800",43.0630642,-88.402319,NA
"USGS-430347089360301",43.0630512,-89.6009552,NA
"USGS-430349089361801",43.0636068,-89.6051219,NA
"USGS-430400088254900",43.0666749,-88.4303752,"nhd_13290958"
"USGS-430417088230300",43.0713975,-88.384263,"nhd_13290920"
"USGS-430436088293300",43.0766741,-88.492599,"nhd_13290942"
"USGS-430458089280900",43.0827734,-89.469287,NA
"USGS-430515089300601",43.0874954,-89.5017877,NA
"USGS-430516089195000",43.0877737,-89.3306732,NA
"USGS-430524089301901",43.0899953,-89.5053988,"nhd_13293302"
"USGS-430551088273500",43.0975072,-88.4598204,"nhd_13290898"
"USGS-430609088262200",43.1025072,-88.4395422,"nhd_13290898"
"USGS-430633088271400",43.1091736,-88.453987,"nhd_13290880"
"USGS-430642088252400",43.1116738,-88.4234307,"nhd_13290832"
"USGS-430644088264500",43.1122291,-88.4459313,"nhd_13290884"
"USGS-430645088264500",43.1125069,-88.4459313,"nhd_13290884"
"USGS-430653088294601",43.1147286,-88.4962102,"nhd_13290870"
"USGS-430707088230500",43.1205906,-88.3807353,"nhd_13290840"
"USGS-430707088301400",43.1186172,-88.5039882,"nhd_13290818"
"USGS-430723088252100",43.1230624,-88.4225974,"nhd_13290832"
"USGS-430733088305900",43.125839,-88.5164884,"nhd_13290818"
"USGS-430757088261700",43.1325064,-88.4381534,"nhd_13290832"
"USGS-430759088244200",43.1330622,-88.4117638,"nhd_13290832"
"USGS-430809088313900",43.1358385,-88.5275997,"nhd_13290818"
"USGS-430844088233300",43.145562,-88.3925968,NA
"USGS-430957088183400",43.16584,-88.3095393,"nhd_13290766"
"USGS-431006088191000",43.1683398,-88.3195396,"nhd_13290766"
"USGS-431046087595401",43.1794444,-87.9983333,"nhd_120052609"
"USGS-431643088243300",43.2786136,-88.4092643,"nhd_13290696"
"USGS-431835088200600",43.3097244,-88.3350962,"nhd_13290674"
"USGS-431916088200501",43.321113,-88.3348185,NA
"USGS-432113088361100",43.3536087,-88.6031572,"nhd_13290632"
"USGS-432224088154900",43.3733342,-88.2637064,"nhd_12162854"
"USGS-432240088363900",43.3777746,-88.6109353,"nhd_13290632"
"USGS-432249088134500",43.3802787,-88.2292614,"nhd_12162896"
"USGS-432255088134700",43.3819453,-88.229817,"nhd_12162896"
"USGS-432300088374200",43.3833297,-88.6284356,"nhd_13290632"
"USGS-432322088125000",43.3894452,-88.2139834,"nhd_12162886"
"USGS-432324088154200",43.3900004,-88.261762,"nhd_12162854"
"USGS-432345087514501",43.3958333,-87.8625,NA
"USGS-432409088151600",43.4025001,-88.2545398,"nhd_12162854"
"USGS-432451089171101",43.4141529,-89.2865053,NA
"USGS-432504088152201",43.4177778,-88.2561111,"nhd_12162850"
"USGS-432640088580500",43.4444334,-88.968165,"nhd_13282356"
"USGS-432814088515000",43.4705462,-88.8639964,"nhd_120053596"
