"WBIC","site_id"
12050,NA
985100,"nhd_13631637"
778100,"nhd_13291002"
378400,"nhd_9026373"
504200,"nhd_6819422"
2503400,"nhd_2646680"
528500,"nhd_6819486"
1515200,"nhd_13400551"
422900,"nhd_6808054"
1445600,"nhd_14726284"
481700,"nhd_6808852"
446600,"nhd_6808842"
182000,"nhd_9029637"
1415100,"nhd_14732002"
2055200,"nhd_13105927"
591600,"nhd_6842629"
2107500,"nhd_13078415"
1304600,"nhd_14710220"
1575700,"nhd_13394785"
2234600,"nhd_12991497"
1984900,NA
408000,"nhd_9022603"
1839000,"nhd_13078255"
1884000,"nhd_13078431"
622800,"nhd_6842721"
979300,"nhd_13394831"
1006400,"nhd_13394947"
503200,NA
428100,"nhd_6808042"
2465600,"nhd_2646980"
1002300,"nhd_14726506"
1875900,"nhd_13124014"
192400,"nhd_9036065"
178700,"nhd_6866487"
1572500,"nhd_13394991"
2112800,"nhd_13078737"
2106200,"nhd_13078729"
2668200,"nhd_2267221"
1861400,"nhd_13079029"
1864000,"nhd_13078853"
808300,NA
760900,"nhd_14767820"
793600,"nhd_13294928"
740550,NA
1880700,"nhd_13343860"
1542600,"nhd_13394003"
743900,"nhd_14768086"
1542300,"nhd_13393881"
323800,"nhd_9029755"
1612300,"nhd_13393943"
1882400,"nhd_13078519"
1623700,"nhd_13391717"
862400,"nhd_13290580"
609200,NA
2683200,"nhd_2264245"
2436000,"nhd_13118750"
2465100,"nhd_13118668"
2964400,"nhd_11950261"
2691200,"nhd_1851693"
2429600,"nhd_13117708"
2495900,"nhd_2262475"
2327100,"nhd_13343604"
2572100,NA
2334400,"nhd_13343626"
2297000,"nhd_13345594"
2329300,"nhd_13343614"
2570340,NA
2464400,"nhd_2266593"
652200,"nhd_6842583"
982400,"nhd_13394509"
608400,"nhd_6842669"
545400,"nhd_6819514"
2616900,"nhd_2646936"
1488400,"nhd_14726340"
1008900,"nhd_14726496"
2624000,"nhd_2646976"
2623800,"nhd_2647054"
991200,NA
1448600,"nhd_14726384"
425600,"nhd_6808218"
496300,"nhd_6808166"
2339900,"nhd_13343954"
281900,"nhd_9032783"
1825100,"nhd_2113610"
168000,"nhd_6866497"
138000,"nhd_12009986"
37900,"nhd_12161178"
43700,"nhd_12161138"
2481500,"nhd_2644114"
2599400,"nhd_2267263"
2477100,"nhd_2644054"
2668600,"nhd_2267449"
2043500,"nhd_13078833"
617300,"nhd_6842831"
1577100,"nhd_13395285"
557100,"nhd_6817206"
2624600,"nhd_2646970"
540600,"nhd_6820636"
486400,"nhd_6808366"
425300,"nhd_6808442"
1481600,"nhd_14726662"
533800,"nhd_6819662"
10300,NA
732300,"nhd_13107555"
282800,"nhd_9032817"
182400,NA
251600,"nhd_9036175"
139900,"nhd_6863055"
42400,"nhd_12161232"
175700,"nhd_6866613"
1708600,NA
1378100,"nhd_14704058"
196700,"nhd_9036153"
1377900,"nhd_14704066"
2903600,"nhd_1816075"
2642000,"nhd_2643854"
2677200,"nhd_2266623"
2501000,"nhd_2644026"
2107700,"nhd_13078143"
653700,"nhd_6842477"
2400600,"nhd_120052452"
2468900,"nhd_2644030"
1441100,NA
2956700,"nhd_6792377"
272000,"nhd_9033795"
1874400,"nhd_13078847"
2667300,"nhd_2267247"
141400,"nhd_6864745"
487500,"nhd_6808236"
489700,"nhd_6808380"
1599400,"nhd_13393725"
2339100,"nhd_13343830"
262900,"nhd_9035997"
780400,"nhd_13296418"
2767100,"nhd_1797425"
2671900,"nhd_2262783"
2722400,"nhd_1850179"
2672500,"nhd_2262767"
2266800,"nhd_12987571"
2726000,"nhd_1850199"
2434800,"nhd_120053682"
2331600,"nhd_13343906"
2600300,"nhd_1850241"
2294900,"nhd_13345552"
1594000,"nhd_13393421"
2485600,"nhd_2647270"
991700,"nhd_13391867"
2322300,"nhd_13346562"
2320500,"nhd_13346562"
1620500,"nhd_13393417"
193800,"nhd_9032315"
187400,NA
421600,"nhd_6808422"
462300,"nhd_6808374"
1762700,"nhd_13131869"
2128100,"nhd_13097728"
107900,"nhd_6864383"
67400,"nhd_12173058"
107500,"nhd_6866345"
2098800,"nhd_13079171"
190900,"nhd_9026319"
585500,"nhd_6842997"
2631200,"nhd_167120756"
1012100,"nhd_120053486"
1516000,"nhd_120052157"
93500,"nhd_13062613"
524700,"nhd_6819756"
1879300,"nhd_13124322"
2195400,"nhd_12980725"
2468200,"nhd_2647642"
280400,"nhd_9033611"
988000,"nhd_13395401"
1566300,"nhd_13395505"
1841900,"nhd_13352074"
1579700,"nhd_13399119"
2478600,"nhd_2646420"
1867600,"nhd_13081043"
2620000,"nhd_2646540"
522400,"nhd_6819872"
424700,"nhd_6808700"
2171200,"nhd_13104013"
2681600,NA
181900,"nhd_9035803"
107400,NA
1666000,"nhd_2452938"
46700,NA
29000,NA
1000700,"nhd_14708626"
1246500,"nhd_13634461"
762400,"nhd_14767688"
740200,"nhd_14767830"
1322400,"nhd_14705712"
1322400,NA
253800,"nhd_9033853"
29700,"nhd_12161466"
837100,"nhd_13282356"
515800,NA
2340700,"nhd_13343982"
1840400,"nhd_12987579"
2749900,NA
2899000,NA
2755600,"nhd_1816177"
2732600,"nhd_1849501"
2918600,"nhd_1813827"
1868900,"nhd_13343298"
2712800,"nhd_1852919"
2649500,"nhd_2643622"
2243500,"nhd_12991307"
2273900,NA
650000,"nhd_6842611"
2502000,"nhd_2264213"
1543300,"nhd_13394221"
652500,"nhd_6842607"
1535000,"nhd_13394339"
1506200,"nhd_14726112"
387200,"nhd_9028333"
191900,"nhd_9026349"
2495000,"nhd_2646804"
587800,"nhd_6847715"
1513000,"nhd_13400551"
2079100,"nhd_13083971"
994800,"nhd_13630673"
1267400,"nhd_120052474"
1226100,"nhd_13634341"
741700,"nhd_14767902"
816600,"nhd_13294782"
1336200,"nhd_14705806"
66800,"nhd_12173086"
179800,"nhd_6866693"
2468300,"nhd_1849619"
2449300,"nhd_1849627"
2294500,"nhd_13345374"
2326700,"nhd_13343450"
2406500,"nhd_13117646"
1005700,"nhd_13391555"
2423900,"nhd_13118656"
2486300,"nhd_2262491"
2313600,"nhd_13345510"
2495200,"nhd_2262413"
1838600,"nhd_13117650"
2338800,"nhd_13343568"
2328800,"nhd_13343614"
2533000,"nhd_13078037"
972000,"nhd_13394319"
1612100,"nhd_13394403"
2275300,"nhd_13349678"
400,"nhd_12168905"
1838500,"nhd_13123948"
1445500,"nhd_14726320"
384700,NA
1017400,"nhd_14726194"
967200,"nhd_14726248"
2452200,"nhd_2646814"
2626300,NA
999700,"nhd_14726360"
2607600,"nhd_13105365"
1412200,"nhd_14730296"
261200,"nhd_9035981"
265100,"nhd_9035945"
85400,"nhd_12172944"
1717300,"nhd_13134961"
265500,"nhd_9035945"
146100,"nhd_6864789"
117500,"nhd_6866485"
103400,"nhd_6866429"
2649800,"nhd_2643664"
2914800,"nhd_1813639"
1447200,"nhd_14726528"
2314100,"nhd_13345478"
1856400,"nhd_13343336"
2492800,"nhd_1849755"
2300600,"nhd_13345458"
2343600,"nhd_13343496"
2705000,"nhd_1849765"
2452300,"nhd_2262477"
1630600,"nhd_13391483"
2336800,"nhd_13343420"
1832200,"nhd_13343414"
2488200,"nhd_1851893"
2340100,"nhd_13344026"
2416900,"nhd_13118830"
2453300,"nhd_1850075"
1513800,"nhd_14729114"
1010100,"nhd_14726518"
2201000,NA
1836700,"nhd_13352138"
2650300,"nhd_2643738"
724600,"nhd_13209682"
724000,NA
2081200,"nhd_13080639"
1555900,"nhd_13399045"
305500,"nhd_9029847"
1434900,"nhd_14731992"
1335500,"nhd_14705842"
131100,"nhd_120052443"
459900,"nhd_6808562"
1437500,"nhd_14730086"
1246300,"nhd_13634447"
2668100,"nhd_2267225"
480100,"nhd_6807690"
490100,"nhd_6808348"
456765,"nhd_6808544"
2423000,"nhd_13118768"
1602300,"nhd_120053667"
2674500,NA
985900,"nhd_13391779"
1176400,"nhd_13393361"
2493100,"nhd_1855223"
1847000,"nhd_13078543"
1848400,"nhd_13078727"
1571300,"nhd_13394961"
501800,"nhd_6816862"
2239300,"nhd_12991627"
968100,"nhd_13394773"
1855800,"nhd_13121364"
1835000,"nhd_13078681"
2240100,"nhd_12991623"
406400,NA
1564200,"nhd_13395159"
540600,"nhd_6820636"
993800,"nhd_14726592"
461300,"nhd_6808400"
2311700,"nhd_13343156"
2673600,"nhd_2265939"
2462200,"nhd_2260719"
2463300,"nhd_2260815"
2750200,NA
2125400,"nhd_13105849"
830800,"nhd_13282794"
873900,NA
1204030,NA
7100,"nhd_12169509"
763200,"nhd_14767684"
165700,"nhd_6866405"
166700,"nhd_6866415"
104300,"nhd_6866619"
171000,"nhd_6866591"
175700,NA
25600,"nhd_12162850"
743000,"nhd_14768096"
2098000,"nhd_13081091"
1378100,"nhd_14704058"
2474400,"nhd_2267029"
970000,"nhd_13394205"
2486200,"nhd_2644044"
973000,"nhd_13394119"
766600,"nhd_14767784"
426200,"nhd_6808058"
449300,NA
2728900,"nhd_1849889"
265400,"nhd_9035945"
265200,"nhd_9035945"
969300,"nhd_13394219"
1528300,"nhd_13394473"
146100,"nhd_120052176"
1518700,"nhd_13394957"
835100,"nhd_13281386"
702800,"nhd_6842347"
2227500,NA
2399700,"nhd_13120880"
2267000,"nhd_12987583"
1881900,"nhd_13344210"
2266900,"nhd_12987557"
2670700,"nhd_120053127"
2401300,"nhd_13119274"
2673300,NA
1592400,"nhd_120052559"
2451900,"nhd_1852643"
2415800,"nhd_13120838"
1601300,"nhd_13393431"
2709800,"nhd_1852687"
2046500,"nhd_13121370"
2641000,"nhd_2644088"
988200,"nhd_13395085"
977100,"nhd_13395165"
2518800,NA
2200400,"nhd_12980631"
426100,"nhd_6808106"
2172600,"nhd_13103871"
1764500,"nhd_13131903"
418700,"nhd_6808248"
769750,NA
1835700,"nhd_13121060"
1858200,"nhd_13080589"
2436800,"nhd_13120880"
2449400,"nhd_2644196"
2903100,"nhd_1813379"
1753300,"nhd_13132689"
1406300,"nhd_14701628"
1620000,NA
2265900,"nhd_12990849"
2256800,"nhd_12990929"
2711800,NA
1870100,"nhd_12990923"
1866400,"nhd_13349408"
1593800,"nhd_13393533"
607500,"nhd_6842385"
2500100,"nhd_1852711"
706000,"nhd_14445878"
583700,"nhd_6842821"
2105800,"nhd_13078839"
2210900,"nhd_12979511"
1572000,"nhd_13395039"
2193900,"nhd_12980685"
348700,"nhd_9026661"
1615900,"nhd_13394797"
1533200,"nhd_13394577"
1015100,"nhd_13394511"
2114300,"nhd_13078575"
1861900,"nhd_13078697"
1865400,"nhd_13078707"
200300,"nhd_9035729"
67100,NA
107700,"nhd_6866683"
835800,"nhd_13281252"
1885700,NA
2351400,"nhd_13124170"
1590400,"nhd_13393863"
2765900,"nhd_120053691"
2669300,"nhd_2267429"
2176200,"nhd_13103901"
1878800,"nhd_13124016"
1333900,"nhd_14705866"
1717300,"nhd_13134967"
2876200,"nhd_1797513"
2754300,NA
2832900,"nhd_1816241"
2899400,"nhd_1816379"
2935500,"nhd_1813701"
2479000,"nhd_2260759"
2747700,NA
1008700,"nhd_13393581"
2268200,"nhd_12991075"
1835500,"nhd_12988315"
1603600,"nhd_13393655"
974200,"nhd_13393935"
2598600,"nhd_2266553"
1610700,"nhd_13393943"
2081700,"nhd_13080623"
2104300,"nhd_13079055"
2098200,"nhd_13079193"
552100,"nhd_6817254"
1005200,NA
1322400,NA
2181400,NA
421800,"nhd_6808502"
184300,"nhd_9026651"
2741600,"nhd_2260969"
742245,NA
767400,"nhd_14767716"
828000,"nhd_13290910"
742210,NA
1322400,"nhd_14705700"
2767300,"nhd_1813593"
2743600,"nhd_2260889"
2964000,"nhd_11949795"
2944800,"nhd_1813751"
2734500,"nhd_1849473"
2381900,"nhd_13119508"
1862400,"nhd_13121114"
1884100,"nhd_13121114"
651300,"nhd_6842501"
1605200,"nhd_13393859"
587400,"nhd_6842439"
