"dowlknum","site_id"
"50000200","nhd_7014053"
"55006500",NA
"74000300","nhd_2034043"
"74001600",NA
"74000401","nhd_2034041"
"50001700",NA
"50001900",NA
"24007504",NA
"20001100",NA
"50000300","nhd_7014051"
"74001300",NA
"55002402",NA
"24007900",NA
"50002200",NA
"74001500",NA
"24007503",NA
"50001600",NA
"20000200",NA
"55006100",NA
"20000500",NA
"74001800",NA
"50002000",NA
"24001200",NA
"55006400",NA
"24006700","nhd_7014959"
"20000400",NA
"55000200","nhd_2443404"
"24007200",NA
"74004100",NA
"55000600",NA
"74006700",NA
"74000600","nhd_2034051"
"24001100",NA
"74001000",NA
"74004500",NA
"20001200",NA
"20001300",NA
"74001100",NA
"20000800",NA
"74006600",NA
"20000100",NA
"20000900",NA
"24000100",NA
"20001000",NA
"74000900",NA
"24007800",NA
"74000700",NA
"55002500","nhd_2439810"
"74006300",NA
"50002300",NA
"74001200",NA
"55002100",NA
"50001500",NA
"74001400",NA
"20002400",NA
"24000600",NA
"74000800",NA
"50001800",NA
"24007505",NA
"50000100","nhd_13335518"
"74000402","nhd_2034045"
"24007502",NA
"50000400","nhd_7014041"
"55000300","nhd_2439808"
"55002200",NA
"55002300",NA
"23003800",NA
"55006000",NA
"23003400",NA
"55000900",NA
"55006200",NA
"23003300",NA
"55001900",NA
"55002000",NA
"79004800",NA
"23001300",NA
"79004900",NA
"23001900",NA
"23003700",NA
"55005800",NA
"23003900",NA
"23000200",NA
"55006300",NA
"23002800",NA
"23001700",NA
"23002600",NA
"23002700",NA
"23002000",NA
"23002300",NA
"23004000",NA
"85007000",NA
"23002200",NA
"23002900",NA
"85005100",NA
"23000300",NA
"23002500",NA
"23003100",NA
"23003500",NA
"23001400",NA
"23001500",NA
"23001800",NA
"23001600",NA
"85006500",NA
"23003600",NA
"23004100",NA
"23000100",NA
"85007200",NA
"23002100",NA
"85006600",NA
"85004300",NA
"85006800",NA
"23002400",NA
"23003000",NA
"85004400",NA
"23004300",NA
"23003200",NA
"85001302",NA
"85006400",NA
"85005000",NA
"85007100",NA
"85004800",NA
"85005600",NA
"85003303","nhd_2116262"
"85003302","nhd_2116202"
"85005300",NA
"85004700",NA
"85001000","nhd_2116260"
"85003301","nhd_2116166"
"85001305",NA
"85003304","nhd_2116212"
"85000900",NA
"28003300",NA
"85001305",NA
"85001100","nhd_2116312"
"85001101","nhd_2116316"
"85000300","nhd_2116326"
"85004500",NA
"28003400",NA
"85005400",NA
"85005800",NA
"85000203",NA
"85000201",NA
"85001102","nhd_2116312"
"85002600","nhd_2116330"
"85000299",NA
"85007300",NA
"28004400",NA
"28004200",NA
"85005900",NA
"85001301",NA
"85000204",NA
"85003304","nhd_2116240"
"85000800","nhd_2116210"
"85004900",NA
"85000299","nhd_13138517"
"85005500",NA
"28004600",NA
"85005700",NA
"85001303",NA
"85003305","nhd_2116166"
"85005200",NA
"85000202",NA
"85003200",NA
"28003900",NA
"85001200","nhd_2116198"
"28001400",NA
"28005500",NA
"28003100","nhd_13206474"
"28004100",NA
"28003200",NA
"28002100","nhd_2460775"
"85000100",NA
"85006900",NA
"28001500",NA
"28001600","nhd_2460809"
"85000100","nhd_2454752"
"28004500",NA
"85006000",NA
"85006700",NA
"28001200","nhd_2460803"
"28001300",NA
"28005300",NA
"85006200",NA
"28001100","nhd_2460769"
"28001700",NA
"28003700",NA
"85006100",NA
"28005400",NA
"28003800",NA
"85006300",NA
"28004000",NA
"79001200",NA
"79000102",NA
"28000107",NA
"79000104",NA
"79000900","nhd_2116026"
"85001399","nhd_2116154"
"28000105","nhd_120052963"
"28000599","nhd_13334998"
"79000700","nhd_2116030"
"28000599",NA
"28000199",NA
"85001306","nhd_2116122"
"79000103",NA
"79001700","nhd_2116018"
"79000501",NA
"28000501",NA
"85001307",NA
"28000502","nhd_2454850"
"28003600",NA
"79001100",NA
"85001399","nhd_13138483"
"79001800","nhd_2116018"
"28000101","nhd_120052963"
"28000108",NA
"79001400","nhd_2115982"
"28000599","nhd_2454850"
"28000503","nhd_2454822"
"79000101","nhd_2115984"
"28000199",NA
"79001000","nhd_2116036"
"79001900",NA
"28000900",NA
"28002000",NA
"28000106","nhd_13206606"
"79000199","nhd_2115936"
"28000104","nhd_120052963"
"28001800",NA
"28003500",NA
"85002100",NA
"85001304",NA
"79000800","nhd_2116020"
"79002000","nhd_2439398"
"28000102","nhd_120052963"
"28000103","nhd_120052963"
"79000199","nhd_2115964"
