"site_id"	"year"	"date"	"secchi_m"
"WBIC_2332400"	2003	"2003-09-17"	2.1
"WBIC_2332400"	2003	"2003-09-30"	2.6
"WBIC_2332400"	2003	"2003-10-13"	3.4
"WBIC_2332400"	2003	"2003-10-30"	2.1
"WBIC_2332400"	2003	"2003-11-19"	3.2
"WBIC_2332400"	2004	"2004-01-14"	3.3
"WBIC_2332400"	2004	"2004-02-19"	3.5
"WBIC_2332400"	2004	"2004-03-31"	5.1
"WBIC_2332400"	2004	"2004-04-27"	1.4
"WBIC_2332400"	2004	"2004-05-10"	2.7
"WBIC_2332400"	2004	"2004-05-24"	3.7
"WBIC_2332400"	2004	"2004-06-07"	3.4
"WBIC_2332400"	2004	"2004-06-21"	2.5
"WBIC_2332400"	2004	"2004-07-07"	3.1
"WBIC_2332400"	2004	"2004-07-22"	3
"WBIC_2332400"	2004	"2004-08-02"	3.6
"WBIC_2332400"	2004	"2004-08-16"	2.7
"WBIC_2332400"	2004	"2004-09-01"	1.9
"WBIC_2332400"	2004	"2004-09-10"	1.7
"WBIC_2332400"	2004	"2004-09-30"	3.2
"WBIC_2332400"	2004	"2004-10-11"	2.9
"WBIC_2332400"	2004	"2004-10-25"	1.5
"WBIC_2332400"	2004	"2004-11-09"	2
"WBIC_2332400"	2005	"2005-01-10"	4.8
"WBIC_2332400"	2005	"2005-02-23"	4.6
"WBIC_2332400"	2005	"2005-04-01"	4.3
"WBIC_2332400"	2005	"2005-04-19"	1.9
"WBIC_2332400"	2005	"2005-05-03"	3.2
"WBIC_2332400"	2005	"2005-05-16"	5.1
"WBIC_2332400"	2005	"2005-05-31"	7.3
"WBIC_2332400"	2005	"2005-06-14"	3.9
"WBIC_2332400"	2005	"2005-06-27"	4.8
"WBIC_2332400"	2005	"2005-07-11"	4.7
"WBIC_2332400"	2005	"2005-07-26"	3
"WBIC_2332400"	2005	"2005-08-08"	3
"WBIC_2332400"	2005	"2005-08-23"	2.4
"WBIC_2332400"	2005	"2005-09-06"	1.8
"WBIC_2332400"	2005	"2005-09-22"	2.2
"WBIC_2332400"	2005	"2005-10-03"	2.2
"WBIC_2332400"	2005	"2005-10-20"	1.5
"WBIC_2332400"	2005	"2005-11-08"	2.2
"WBIC_2332400"	2006	"2006-01-10"	3
"WBIC_2332400"	2006	"2006-02-27"	4
"WBIC_2332400"	2006	"2006-03-28"	4.3
"WBIC_2332400"	2006	"2006-04-20"	1.4
"WBIC_2332400"	2006	"2006-05-01"	1.8
"WBIC_2332400"	2006	"2006-05-16"	3.1
"WBIC_2332400"	2006	"2006-05-30"	4.2
"WBIC_2332400"	2006	"2006-06-12"	4.1
"WBIC_2332400"	2006	"2006-06-26"	3.8
"WBIC_2332400"	2006	"2006-07-11"	4
"WBIC_2332400"	2006	"2006-07-25"	3.8
"WBIC_2332400"	2006	"2006-08-09"	3.3
"WBIC_2332400"	2006	"2006-08-21"	3.5
"WBIC_2332400"	2006	"2006-09-05"	3.8
"WBIC_2332400"	2006	"2006-09-19"	2
"WBIC_2332400"	2006	"2006-10-04"	2.6
"WBIC_2332400"	2006	"2006-10-16"	2.5
"WBIC_2332400"	2006	"2006-10-31"	2.9
"WBIC_2332400"	2007	"2007-01-24"	4.6
"WBIC_2332400"	2007	"2007-02-23"	5.7
"WBIC_2332400"	2007	"2007-03-26"	5.1
"WBIC_2332400"	2007	"2007-04-23"	1.8
"WBIC_2332400"	2007	"2007-05-07"	4.4
"WBIC_2332400"	2007	"2007-05-21"	4.6
"WBIC_2332400"	2007	"2007-06-04"	3.3
"WBIC_2332400"	2007	"2007-06-19"	2.8
"WBIC_2332400"	2007	"2007-07-04"	3.5
"WBIC_2332400"	2007	"2007-07-16"	3.3
"WBIC_2332400"	2007	"2007-07-30"	3.9
"WBIC_2332400"	2007	"2007-08-15"	2.7
"WBIC_2332400"	2007	"2007-08-30"	3
"WBIC_2332400"	2007	"2007-09-10"	1.9
"WBIC_2332400"	2007	"2007-09-27"	2.1
"WBIC_2332400"	2007	"2007-10-08"	1.8
"WBIC_2332400"	2007	"2007-10-22"	2.5
"WBIC_2332400"	2007	"2007-11-08"	4.4
"WBIC_2332400"	2008	"2008-01-15"	4.4
"WBIC_2332400"	2008	"2008-03-03"	4.9
"WBIC_2332400"	2008	"2008-03-25"	3.9
"WBIC_2332400"	2008	"2008-05-08"	2
"WBIC_2332400"	2008	"2008-05-19"	2.4
"WBIC_2332400"	2008	"2008-06-02"	6.2
"WBIC_2332400"	2008	"2008-06-19"	2.8
"WBIC_2332400"	2008	"2008-06-30"	2.5
"WBIC_2332400"	2008	"2008-07-15"	3
"WBIC_2332400"	2008	"2008-07-28"	3
"WBIC_2332400"	2008	"2008-08-12"	2.5
"WBIC_2332400"	2008	"2008-08-25"	2.6
"WBIC_2332400"	2008	"2008-09-09"	2.1
"WBIC_2332400"	2008	"2008-09-22"	1.6
"WBIC_2332400"	2008	"2008-10-06"	1.9
"WBIC_2332400"	2008	"2008-10-20"	3
"WBIC_2332400"	2008	"2008-11-06"	3.5
"WBIC_2332400"	2009	"2009-01-20"	4.9
"WBIC_2332400"	2009	"2009-02-23"	5.4
"WBIC_2332400"	2009	"2009-03-17"	5.1
"WBIC_2332400"	2009	"2009-04-27"	2
"WBIC_2332400"	2009	"2009-05-12"	3.1
"WBIC_2332400"	2009	"2009-05-26"	3.3
"WBIC_2332400"	2009	"2009-06-08"	3.5
"WBIC_2332400"	2009	"2009-06-22"	3.2
"WBIC_2332400"	2009	"2009-07-06"	2.7
"WBIC_2332400"	2009	"2009-07-21"	2.3
"WBIC_2332400"	2009	"2009-08-04"	3.1
"WBIC_2332400"	2009	"2009-08-19"	2
"WBIC_2332400"	2009	"2009-08-31"	1.6
"WBIC_2332400"	2009	"2009-09-14"	4.1
"WBIC_2332400"	2009	"2009-09-29"	2
"WBIC_2332400"	2009	"2009-10-14"	2.1
"WBIC_2332400"	2009	"2009-10-26"	4.4
"WBIC_2332400"	2009	"2009-11-09"	2.3
"WBIC_2332400"	2010	"2010-01-19"	2.7
"WBIC_2332400"	2010	"2010-02-16"	3.7
"WBIC_2332400"	2010	"2010-03-22"	5.9
"WBIC_2332400"	2010	"2010-04-12"	2.7
"WBIC_2332400"	2010	"2010-04-27"	6.5
"WBIC_2332400"	2010	"2010-05-12"	4.8
"WBIC_2332400"	2010	"2010-05-24"	6
"WBIC_2332400"	2010	"2010-06-07"	3.3
"WBIC_2332400"	2010	"2010-06-22"	3.9
"WBIC_2332400"	2010	"2010-07-08"	3.3
"WBIC_2332400"	2010	"2010-07-19"	2.2
"WBIC_2332400"	2010	"2010-08-02"	2.3
"WBIC_2332400"	2010	"2010-08-18"	2.1
"WBIC_2332400"	2010	"2010-08-31"	2.1
"WBIC_2332400"	2010	"2010-09-13"	1.5
"WBIC_2332400"	2010	"2010-09-29"	1.9
"WBIC_2332400"	2010	"2010-10-12"	3.2
"WBIC_2332400"	2010	"2010-10-28"	2.4
"WBIC_2332400"	2010	"2010-11-10"	3.4
"WBIC_2332400"	2011	"2011-01-19"	2.9
"WBIC_2332400"	2011	"2011-02-15"	2.7
"WBIC_2332400"	2011	"2011-03-16"	3.9
"WBIC_2332400"	2011	"2011-05-02"	1.8
"WBIC_2332400"	2011	"2011-05-17"	2.5
"WBIC_2332400"	2011	"2011-05-31"	1.2
"WBIC_2332400"	2011	"2011-06-13"	3.4
"WBIC_2332400"	2011	"2011-06-27"	3.4
"WBIC_2332400"	2011	"2011-07-12"	2.6
"WBIC_2332400"	2011	"2011-07-25"	2.8
"WBIC_2332400"	2011	"2011-08-08"	2.4
"WBIC_2332400"	2011	"2011-08-22"	2.6
"WBIC_2332400"	2011	"2011-09-07"	2.3
"WBIC_2332400"	2011	"2011-09-19"	2.2
"WBIC_2332400"	2011	"2011-10-05"	2.3
"WBIC_2332400"	2011	"2011-10-17"	2.2
"WBIC_2332400"	2011	"2011-10-31"	2.4
"WBIC_2332400"	2011	"2011-11-11"	2.3
